路径编号,业务ID,业务组名称,路径编码
1,"042E0102
042E0102
01010903","检索提取
检索提取
结束",BRT_040H
2,"042E0115
040O0238
040O0238
042E0115
042E0118
040O0238
040O0238
01010102
042E0100
042E0115
040O0238
040O0238
01010102
042E0100
042E0115
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
检索提取
检索提取
重打牌
重打牌
登录
检索提取
检索提取
重打牌
重打牌
登录
检索提取
检索提取
重打牌
重打牌
结束",BRT_040I
3,"042E0115
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
结束",BRT_040I
4,"042E0115
040O0238
040O0238
040O0238
040O0238
040O0238
040O0200
040O0211
042E0121
01010903","检索提取
重打牌
重打牌
重打牌
重打牌
重打牌
下一步值机
下一步值机
返回
结束",BRT_040I
5,"042E0115
040O0238
040O0238
042E0115
040O0238
040O0238
01010102
042E0100
042E0115
040O0238
040O0238
042E0100
042E0115
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
检索提取
重打牌
重打牌
登录
检索提取
检索提取
重打牌
重打牌
检索提取
检索提取
重打牌
重打牌
结束",BRT_040I
6,"042E0115
040O0238
040O0238
040O0238
040O0238
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
重打牌
重打牌
重打牌
重打牌
结束",BRT_040I
7,"042E0115
042E0115
042E0118
040O0238
042E0112
040O0238
042E0115
042E0118
040O0238
040O0238
042E0115
042E0118
040O0238
040O0238
01010903","检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
检索提取
检索提取
重打牌
重打牌
检索提取
检索提取
重打牌
重打牌
结束",BRT_040I
8,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0112
040O0238
042E0115
042E0118
040O0238
040O0238
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0238
040O0238
042E0112
040O0238
040O0238
040O0238
040O0238
01010903","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
检索提取
检索提取
重打牌
重打牌
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
检索提取
重打牌
重打牌
重打牌
重打牌
结束",BRT_040I
9,"042E0115
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
结束",BRT_040I
10,"042E0115
040O0238
042E0115
040O0238
040O0238
040O0238
040O0238
01010903","检索提取
重打牌
检索提取
重打牌
重打牌
重打牌
重打牌
结束",BRT_040I
11,"042E0115
040O0238
040O0238
042E0115
040O0238
040O0238
040O0238
040O0238
040O0200
040O0211
042E0121
040O0238
040O0238
040O0238
040O0238
040O0238
040O0238
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
检索提取
重打牌
重打牌
重打牌
重打牌
下一步值机
下一步值机
返回
重打牌
重打牌
重打牌
重打牌
重打牌
重打牌
重打牌
重打牌
结束",BRT_040I
12,"042E0115
16280100
nav","检索提取
None
结束",BRT_040Other
13,"042E0115
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
结束",BRT_040I
14,"042E0115
042E0115
040O0238
040O0200
040O0211
042E0121
040O0238
042E0133
040O0238
040O0238
042E0106
040O0200
040O0211
042E0121
01010102
042E0100
042E0105
042E0118
042E0102
042E0133
042E0106
01010903","检索提取
检索提取
重打牌
下一步值机
下一步值机
返回
重打牌
检索提取
重打牌
重打牌
旅客详情
下一步值机
下一步值机
返回
登录
检索提取
办理历史
检索提取
检索提取
检索提取
旅客详情
结束",BRT_040I
15,"042E0115
040O0238
040O0238
01010102
042E0100
042E0105
042E0117","检索提取
重打牌
重打牌
登录
检索提取
办理历史
结束",BRT_0402
16,"042E0115
040O0200
040O0211
042E0121
040O0238
040O0238
042E0115
040O0238
040O0238
nav","检索提取
下一步值机
下一步值机
返回
重打牌
重打牌
检索提取
重打牌
重打牌
结束",BRT_040Other
17,"042E0115
040O0238
040O0238
042E0117","检索提取
重打牌
重打牌
结束",BRT_0402
18,"042E0115
040O0238
040O0238
042E0115
042E0118
040O0238
040O0238
01010102
042E0100
01010903","检索提取
重打牌
重打牌
检索提取
检索提取
重打牌
重打牌
登录
检索提取
结束",BRT_040I
19,"042E0115
040O0238
040O0238
01010102
042E0100
042E0115
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
登录
检索提取
检索提取
重打牌
重打牌
结束",BRT_040I
20,"042E0115
042E0115
040O0238
040O0238
01010102
042E0100
01010102
042E0100
042E0115
040O0200
040O0211
042E0121
040O0200
040O0211
040O0204
042E0121
042E0117","检索提取
检索提取
重打牌
重打牌
登录
检索提取
登录
检索提取
检索提取
下一步值机
下一步值机
返回
下一步值机
下一步值机
值机接收
返回
结束",BRT_0402
21,"042E0115
040O0238
040O0238
040O0238
040O0238
040O0238
040O0238
042E0115
040O0238
040O0238
040O0238
040O0238
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
重打牌
重打牌
重打牌
重打牌
检索提取
重打牌
重打牌
重打牌
重打牌
重打牌
重打牌
结束",BRT_040I
22,"042E0115
040O0238
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
重打牌
结束",BRT_040I
23,"042E0115
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
结束",BRT_040I
24,"042E0102
042E0102
042E0102
01010903","检索提取
检索提取
检索提取
结束",BRT_040H
25,"042E0115
16280100
nav","检索提取
None
结束",BRT_040Other
26,"042E0115
040O0238
040O0238
01010903","检索提取
重打牌
重打牌
结束",BRT_040I
